iter	Passed	Remaining
0	3	3252
1	5	2835
2	8	2820
3	12	3045
4	14	2788
5	15	2555
6	16	2303
7	18	2289
8	20	2289
9	22	2263
10	24	2184
11	26	2180
12	28	2189
13	31	2195
14	34	2235
15	36	2252
16	37	2179
17	40	2186
18	42	2171
19	44	2185
20	46	2158
21	47	2105
22	50	2133
23	52	2122
24	54	2122
25	56	2132
26	59	2141
27	61	2143
28	63	2119
29	70	2274
30	75	2361
31	78	2387
32	81	2381
33	83	2372
34	84	2333
35	86	2327
36	89	2323
37	91	2322
38	93	2316
39	95	2294
40	98	2315
41	102	2326
42	104	2316
43	106	2324
44	109	2317
45	110	2294
46	112	2290
47	115	2299
48	118	2301
49	121	2316
50	124	2317
51	125	2289
52	127	2274
53	128	2249
54	131	2263
55	134	2263
56	137	2267
57	139	2262
58	141	2252
59	143	2246
60	146	2249
61	148	2245
62	150	2237
63	151	2219
64	153	2214
65	156	2211
66	158	2207
67	161	2208
68	164	2218
69	166	2208
70	169	2212
71	172	2218
72	174	2215
73	175	2201
74	178	2199
75	180	2195
76	182	2190
77	185	2189
78	187	2190
79	190	2190
80	192	2187
81	194	2181
82	196	2173
83	198	2168
84	201	2168
85	203	2164
86	205	2161
87	208	2161
88	210	2159
89	213	2156
90	215	2149
91	217	2147
92	220	2145
93	222	2141
94	224	2136
95	227	2144
96	230	2144
97	232	2140
98	234	2138
99	237	2134
100	238	2120
101	240	2113
102	242	2115
103	244	2110
104	247	2112
105	250	2115
106	253	2112
107	255	2109
108	259	2122
109	262	2127
110	267	2142
111	269	2135
112	271	2127
113	274	2134
114	277	2132
115	279	2129
116	282	2131
117	284	2129
118	287	2131
119	290	2129
120	292	2125
121	294	2121
122	296	2111
123	298	2108
124	301	2107
125	302	2096
126	305	2100
127	308	2098
128	309	2087
129	311	2083
130	314	2084
131	316	2080
132	318	2076
133	321	2075
134	324	2076
135	325	2070
136	328	2070
137	330	2067
138	332	2061
139	335	2058
140	337	2059
141	339	2053
142	341	2049
143	344	2045
144	345	2035
145	347	2033
146	349	2028
147	352	2027
148	354	2024
149	356	2018
150	358	2013
151	360	2011
152	362	2005
153	363	1995
154	365	1991
155	367	1987
156	370	1986
157	372	1984
158	374	1980
159	375	1972
160	378	1972
161	379	1965
162	381	1961
163	384	1960
164	386	1954
165	388	1953
166	391	1951
167	393	1949
168	395	1947
169	396	1937
170	398	1933
171	401	1933
172	403	1930
173	405	1924
174	407	1921
175	410	1920
176	411	1912
177	412	1906
178	414	1902
179	417	1903
180	420	1901
181	422	1897
182	424	1895
183	426	1891
184	428	1889
185	429	1880
186	432	1878
187	434	1876
188	437	1875
189	439	1873
190	442	1874
191	444	1871
192	446	1867
193	449	1865
194	452	1869
195	456	1873
196	459	1871
197	461	1867
198	463	1864
199	466	1866
200	469	1866
201	473	1868
202	475	1868
203	477	1863
204	479	1860
205	482	1860
206	484	1856
207	486	1853
208	489	1851
209	491	1848
210	493	1844
211	496	1846
212	498	1841
213	500	1839
214	502	1836
215	506	1837
216	507	1832
217	510	1830
218	513	1829
219	515	1829
220	518	1825
221	520	1822
222	522	1820
223	524	1817
224	526	1814
225	529	1813
226	531	1811
227	534	1809
228	536	1806
229	538	1804
230	541	1802
231	542	1795
232	545	1796
233	547	1793
234	549	1789
235	552	1789
236	555	1786
237	557	1784
238	559	1780
239	561	1777
240	563	1774
241	565	1772
242	568	1770
243	570	1768
244	572	1765
245	575	1763
246	578	1762
247	580	1760
248	582	1756
249	585	1757
250	588	1755
251	590	1751
252	594	1753
253	595	1747
254	597	1745
255	600	1744
256	602	1741
257	603	1736
258	606	1733
259	608	1731
260	611	1731
261	613	1728
262	615	1725
263	618	1723
264	621	1722
265	622	1718
266	625	1717
267	669	1827
268	673	1830
269	676	1829
270	679	1827
271	684	1833
272	686	1829
273	689	1826
274	692	1826
275	695	1823
276	697	1820
277	700	1818
278	702	1815
279	704	1811
280	707	1810
281	710	1807
282	712	1804
283	714	1801
284	717	1799
285	719	1795
286	721	1792
287	723	1789
288	725	1785
289	728	1782
290	730	1779
291	732	1775
292	734	1771
293	736	1768
294	739	1768
295	742	1766
296	744	1763
297	747	1762
298	750	1759
299	752	1756
300	755	1754
301	758	1753
302	761	1750
303	765	1751
304	766	1747
305	768	1743
306	771	1741
307	773	1738
308	775	1734
309	777	1730
310	780	1728
311	781	1724
312	784	1721
313	786	1718
314	788	1715
315	791	1712
316	793	1709
317	795	1707
318	798	1704
319	800	1700
320	802	1697
321	804	1694
322	806	1691
323	808	1687
324	811	1686
325	813	1681
326	815	1678
327	818	1676
328	821	1676
329	824	1673
330	827	1673
331	830	1671
332	832	1668
333	835	1666
334	837	1663
335	840	1660
336	842	1658
337	845	1656
338	848	1653
339	851	1652
340	853	1648
341	855	1646
342	858	1643
343	859	1639
344	862	1637
345	864	1634
346	867	1633
347	869	1629
348	872	1626
349	875	1625
350	881	1629
351	886	1631
352	888	1628
353	891	1626
354	894	1624
355	896	1621
356	899	1619
357	901	1616
358	903	1613
359	906	1611
360	910	1612
361	912	1608
362	914	1605
363	916	1602
364	918	1598
365	920	1595
366	924	1593
367	926	1590
368	928	1588
369	931	1586
370	934	1584
371	936	1581
372	939	1578
373	941	1575
374	943	1572
375	945	1569
376	947	1565
377	950	1563
378	952	1560
379	955	1559
380	957	1556
381	960	1553
382	963	1551
383	965	1548
384	967	1546
385	970	1543
386	972	1540
387	974	1537
388	976	1534
389	979	1532
390	982	1530
391	984	1526
392	987	1524
393	989	1522
394	992	1519
395	994	1516
396	997	1515
397	999	1511
398	1001	1508
399	1004	1507
400	1007	1504
401	1009	1501
402	1012	1499
403	1014	1496
404	1016	1494
405	1019	1492
406	1022	1489
407	1024	1486
408	1027	1484
409	1029	1481
410	1031	1478
411	1034	1476
412	1038	1475
413	1040	1472
414	1043	1471
415	1046	1468
416	1048	1465
417	1050	1462
418	1053	1460
419	1055	1457
420	1058	1455
421	1061	1454
422	1063	1451
423	1065	1447
424	1068	1445
425	1071	1444
426	1075	1443
427	1079	1442
428	1081	1439
429	1085	1438
430	1087	1435
431	1089	1432
432	1093	1431
433	1095	1428
434	1097	1425
435	1101	1424
436	1104	1422
437	1106	1420
438	1109	1417
439	1111	1415
440	1113	1411
441	1116	1409
442	1119	1407
443	1122	1405
444	1125	1403
445	1127	1400
446	1129	1396
447	1132	1395
448	1134	1392
449	1137	1389
450	1140	1388
451	1142	1385
452	1145	1382
453	1148	1381
454	1151	1379
455	1153	1375
456	1155	1373
457	1158	1371
458	1172	1382
459	1176	1381
460	1181	1381
461	1186	1381
462	1191	1382
463	1196	1381
464	1199	1379
465	1202	1377
466	1205	1375
467	1207	1372
468	1210	1369
469	1212	1366
470	1214	1364
471	1217	1361
472	1218	1357
473	1222	1356
474	1223	1352
475	1226	1349
476	1229	1348
477	1231	1345
478	1233	1342
479	1236	1339
480	1239	1337
481	1241	1333
482	1243	1330
483	1246	1329
484	1249	1327
485	1251	1324
486	1256	1323
487	1258	1320
488	1261	1318
489	1263	1314
490	1265	1311
491	1268	1309
492	1272	1308
493	1275	1306
494	1278	1304
495	1280	1301
496	1282	1298
497	1286	1297
498	1288	1293
499	1291	1291
500	1294	1289
501	1297	1286
502	1299	1283
503	1301	1281
504	1304	1278
505	1306	1275
506	1309	1273
507	1312	1270
508	1314	1267
509	1315	1264
510	1319	1262
511	1321	1259
512	1323	1256
513	1326	1254
514	1329	1251
515	1331	1248
516	1333	1245
517	1337	1244
518	1339	1241
519	1342	1239
520	1345	1237
521	1348	1234
522	1352	1233
523	1354	1230
524	1356	1227
525	1359	1224
526	1361	1222
527	1364	1219
528	1367	1217
529	1369	1214
530	1371	1211
531	1374	1208
532	1376	1205
533	1378	1203
534	1381	1200
535	1384	1198
536	1387	1195
537	1390	1193
538	1393	1191
539	1395	1188
540	1398	1186
541	1401	1184
542	1403	1181
543	1407	1179
544	1409	1176
545	1411	1173
546	1414	1171
547	1416	1168
548	1419	1165
549	1420	1162
550	1424	1160
551	1426	1157
552	1428	1154
553	1431	1152
554	1434	1149
555	1436	1147
556	1439	1145
557	1442	1142
558	1444	1139
559	1447	1137
560	1450	1134
561	1452	1131
562	1455	1129
563	1457	1126
564	1459	1123
565	1462	1121
566	1467	1120
567	1472	1119
568	1476	1118
569	1479	1116
570	1482	1113
571	1484	1111
572	1488	1109
573	1490	1106
574	1492	1103
575	1495	1101
576	1497	1098
577	1499	1095
578	1503	1092
579	1505	1089
580	1507	1087
581	1509	1084
582	1512	1081
583	1514	1078
584	1516	1075
585	1519	1073
586	1521	1070
587	1523	1067
588	1526	1065
589	1529	1062
590	1531	1059
591	1534	1057
592	1537	1055
593	1539	1052
594	1541	1049
595	1545	1047
596	1548	1045
597	1550	1042
598	1553	1039
599	1555	1037
600	1557	1034
601	1560	1031
602	1563	1029
603	1566	1026
604	1569	1024
605	1571	1021
606	1573	1019
607	1576	1016
608	1578	1013
609	1580	1010
610	1584	1008
611	1586	1005
612	1589	1003
613	1592	1001
614	1594	998
615	1596	995
616	1599	992
617	1602	990
618	1604	987
619	1607	985
620	1610	982
621	1612	980
622	1615	977
623	1617	974
624	1620	972
625	1622	969
626	1626	967
627	1628	964
628	1631	962
629	1634	959
630	1636	957
631	1643	956
632	1679	973
633	1683	971
634	1686	969
635	1688	966
636	1696	966
637	1701	965
638	1704	962
639	1705	959
640	1708	957
641	1711	954
642	1713	951
643	1716	948
644	1718	945
645	1720	942
646	1722	939
647	1725	937
648	1727	934
649	1729	931
650	1732	928
651	1734	926
652	1737	923
653	1740	920
654	1742	917
655	1744	915
656	1747	912
657	1751	910
658	1753	907
659	1756	904
660	1758	901
661	1761	899
662	1764	896
663	1766	894
664	1769	891
665	1772	888
666	1774	885
667	1776	883
668	1780	881
669	1783	878
670	1785	875
671	1788	872
672	1791	870
673	1793	867
674	1795	864
675	1797	861
676	1800	859
677	1802	856
678	1805	853
679	1808	850
680	1810	848
681	1813	845
682	1815	842
683	1817	839
684	1820	837
685	1823	834
686	1825	831
687	1829	829
688	1831	826
689	1834	824
690	1836	821
691	1838	818
692	1840	815
693	1844	813
694	1847	810
695	1849	808
696	1852	805
697	1854	802
698	1857	799
699	1860	797
700	1862	794
701	1864	791
702	1868	789
703	1871	786
704	1874	784
705	1877	782
706	1880	779
707	1882	776
708	1885	774
709	1892	773
710	1895	770
711	1898	767
712	1902	765
713	1904	762
714	1906	760
715	1910	757
716	1912	754
717	1914	751
718	1917	749
719	1920	746
720	1921	743
721	1925	741
722	1926	738
723	1929	735
724	1933	733
725	1935	730
726	1938	727
727	1940	725
728	1943	722
729	1945	719
730	1947	716
731	1950	714
732	1952	711
733	1955	708
734	1958	706
735	1961	703
736	1963	700
737	1966	698
738	1968	695
739	1970	692
740	1973	689
741	1975	687
742	1977	683
743	1980	681
744	1983	679
745	1985	676
746	1988	673
747	1992	671
748	1994	668
749	1996	665
750	1999	662
751	2002	660
752	2005	657
753	2007	655
754	2010	652
755	2013	649
756	2015	647
757	2018	644
758	2020	641
759	2022	638
760	2025	636
761	2027	633
762	2031	630
763	2033	628
764	2036	625
765	2039	623
766	2042	620
767	2045	617
768	2048	615
769	2050	612
770	2052	609
771	2055	607
772	2057	604
773	2060	601
774	2063	599
775	2065	596
776	2069	593
777	2077	592
778	2084	591
779	2090	589
780	2098	588
781	2104	586
782	2108	584
783	2115	582
784	2118	580
785	2121	577
786	2123	574
787	2125	571
788	2128	569
789	2130	566
790	2132	563
791	2135	560
792	2137	557
793	2140	555
794	2143	552
795	2144	549
796	2147	546
797	2149	544
798	2153	541
799	2155	538
800	2158	536
801	2160	533
802	2163	530
803	2166	528
804	2169	525
805	2172	522
806	2175	520
807	2177	517
808	2180	514
809	2182	512
810	2184	509
811	2187	506
812	2189	503
813	2193	501
814	2194	498
815	2196	495
816	2200	492
817	2202	490
818	2204	487
819	2210	485
820	2214	482
821	2216	480
822	2219	477
823	2222	474
824	2224	471
825	2227	469
826	2229	466
827	2232	463
828	2234	460
829	2237	458
830	2240	455
831	2242	452
832	2244	449
833	2246	447
834	2249	444
835	2253	442
836	2258	439
837	2261	437
838	2267	435
839	2272	432
840	2275	430
841	2282	428
842	2288	426
843	2293	423
844	2298	421
845	2302	419
846	2306	416
847	2310	414
848	2313	411
849	2317	409
850	2322	406
851	2333	405
852	2340	403
853	2346	401
854	2349	398
855	2353	395
856	2356	393
857	2358	390
858	2361	387
859	2364	384
860	2368	382
861	2370	379
862	2373	376
863	2375	373
864	2377	371
865	2379	368
866	2382	365
867	2385	362
868	2387	359
869	2389	357
870	2392	354
871	2394	351
872	2397	348
873	2400	346
874	2403	343
875	2405	340
876	2408	337
877	2411	335
878	2413	332
879	2416	329
880	2419	326
881	2421	323
882	2424	321
883	2425	318
884	2427	315
885	2430	312
886	2433	310
887	2436	307
888	2439	304
889	2441	301
890	2443	298
891	2447	296
892	2449	293
893	2451	290
894	2453	287
895	2456	285
896	2459	282
897	2462	279
898	2465	277
899	2468	274
900	2471	271
901	2474	268
902	2483	266
903	2488	264
904	2490	261
905	2494	258
906	2497	256
907	2499	253
908	2502	250
909	2504	247
910	2507	244
911	2509	242
912	2512	239
913	2515	236
914	2516	233
915	2519	231
916	2522	228
917	2524	225
918	2527	222
919	2529	219
920	2536	217
921	2541	215
922	2545	212
923	2551	209
924	2556	207
925	2559	204
926	2563	201
927	2566	199
928	2569	196
929	2571	193
930	2574	190
931	2577	188
932	2579	185
933	2582	182
934	2585	179
935	2588	176
936	2591	174
937	2594	171
938	2596	168
939	2599	165
940	2602	163
941	2604	160
942	2607	157
943	2609	154
944	2612	152
