iter	Logloss	Accuracy
0	0.6750378282	0.80625
1	0.6578224241	0.805
2	0.6417357111	0.8075
3	0.6264492096	0.8075
4	0.6128697493	0.8075
5	0.6017610502	0.80625
6	0.5936486587	0.80375
7	0.5810441492	0.8075
8	0.5705137985	0.8075
9	0.5608771589	0.80625
10	0.5520039164	0.80875
11	0.5417989055	0.8075
12	0.5346193813	0.80875
13	0.5278194776	0.8075
14	0.5214100287	0.81125
15	0.5146951068	0.8075
16	0.5091247847	0.80875
17	0.5042245095	0.81
18	0.4988492708	0.81
19	0.4945024479	0.81
20	0.4904603175	0.81
21	0.4853759308	0.81125
22	0.4822267628	0.81125
23	0.4770058787	0.81125
24	0.4745645206	0.81125
25	0.4705775314	0.8125
26	0.46813095	0.8125
27	0.4643516211	0.8125
28	0.461730929	0.81125
29	0.4592014152	0.815
30	0.458031839	0.815
31	0.455538798	0.81625
32	0.452471888	0.81625
33	0.4501724999	0.815
34	0.4478551001	0.81625
35	0.4462601247	0.81625
36	0.4446834431	0.8175
37	0.4425965423	0.8175
38	0.4416753352	0.8175
39	0.4405786134	0.815
40	0.4391062427	0.815
41	0.4377927163	0.81375
42	0.4367256369	0.815
43	0.4345166235	0.815
44	0.432576434	0.8175
45	0.4298597169	0.8175
46	0.4281931225	0.8175
47	0.4274580067	0.82
48	0.4269708816	0.81875
49	0.4256582708	0.81875
50	0.424809614	0.8225
51	0.4244508525	0.8225
52	0.4231371932	0.8225
53	0.4226439868	0.82375
54	0.4203098091	0.825
55	0.4198981924	0.825
56	0.4196270417	0.825
57	0.4193533548	0.82625
58	0.4186698306	0.82625
59	0.4173293586	0.82625
60	0.417157126	0.82625
61	0.4157561078	0.8275
62	0.4142761468	0.8275
63	0.413841405	0.8275
64	0.4130379596	0.8275
65	0.4125376649	0.8275
66	0.4123673944	0.8275
67	0.411668402	0.8275
68	0.4108273886	0.82875
69	0.4102732816	0.82875
70	0.4098947309	0.82875
71	0.4081603913	0.83
72	0.4078023281	0.82875
73	0.4075881224	0.83
74	0.4075754353	0.83
75	0.4064640998	0.83125
76	0.4064528278	0.83125
77	0.4060895309	0.83125
78	0.4058451724	0.83
79	0.4045663714	0.83
80	0.4041573804	0.83
81	0.403845893	0.83
82	0.4038030374	0.83
83	0.4037916328	0.83
84	0.403504911	0.83
85	0.4031377129	0.83
86	0.4031168489	0.83
87	0.4031111679	0.83
