iter	Logloss	Accuracy
0	0.6862829997	0.8121484814
1	0.6809444134	0.8087739033
2	0.6751692192	0.811023622
3	0.6689060433	0.8132733408
4	0.663214412	0.8121484814
5	0.6576488286	0.811023622
6	0.6544440475	0.8143982002
7	0.6497394449	0.8098987627
8	0.6451747859	0.8098987627
9	0.64071852	0.8098987627
10	0.6350930859	0.8087739033
11	0.6303936548	0.8143982002
12	0.6258099831	0.811023622
13	0.6212031423	0.8155230596
14	0.6165848425	0.8155230596
15	0.6140184447	0.8155230596
16	0.6100945582	0.8155230596
17	0.6054594682	0.8143982002
18	0.6015128558	0.8143982002
19	0.5974088759	0.8132733408
20	0.5931078945	0.8132733408
21	0.5897494242	0.8132733408
22	0.5859038144	0.8143982002
23	0.5816649548	0.8143982002
24	0.5773079967	0.8155230596
25	0.5731568353	0.8155230596
26	0.5711000837	0.8155230596
27	0.5677521904	0.8155230596
28	0.5643835479	0.8155230596
29	0.561039708	0.8132733408
30	0.5592697331	0.8143982002
31	0.5564654272	0.8143982002
32	0.5547748715	0.8155230596
33	0.5515510505	0.8143982002
34	0.5487902601	0.8143982002
35	0.5462812955	0.8143982002
36	0.5427802207	0.8155230596
37	0.539572038	0.8188976378
38	0.537817135	0.8177727784
39	0.5348971696	0.8177727784
40	0.532995505	0.8155230596
41	0.5299771798	0.8155230596
42	0.5279124922	0.8155230596
43	0.5255436241	0.816647919
44	0.5228362953	0.8188976378
45	0.5206980624	0.8200224972
46	0.5186124218	0.8177727784
47	0.5165242814	0.8177727784
48	0.5150945571	0.8188976378
49	0.5126928082	0.8177727784
50	0.5110924683	0.8188976378
51	0.5098326738	0.8188976378
52	0.508638756	0.8200224972
53	0.5070230179	0.8188976378
54	0.5049835827	0.8188976378
55	0.5032384691	0.8200224972
56	0.5011289211	0.8200224972
57	0.499255532	0.8177727784
58	0.4978224428	0.8200224972
59	0.4960238888	0.8200224972
60	0.494324685	0.8200224972
61	0.4924738439	0.8188976378
62	0.4908906058	0.8188976378
63	0.4890938572	0.8177727784
64	0.4879747417	0.8177727784
65	0.4861869618	0.816647919
66	0.484322429	0.816647919
67	0.4835939993	0.816647919
68	0.4817483639	0.8188976378
69	0.4805908171	0.8200224972
70	0.4788268745	0.8211473566
71	0.4779444347	0.822272216
72	0.4768408239	0.8200224972
73	0.4754057944	0.8200224972
74	0.4740009424	0.8200224972
75	0.4722509806	0.8211473566
76	0.4710252115	0.8211473566
77	0.4695459612	0.8211473566
78	0.4683798943	0.8211473566
79	0.4676234793	0.8200224972
80	0.4664416693	0.8211473566
81	0.4656013028	0.8200224972
82	0.4644888574	0.8211473566
83	0.4631793272	0.8211473566
84	0.4621526041	0.8211473566
85	0.4616875165	0.8211473566
86	0.4606685342	0.8200224972
87	0.4597943404	0.8200224972
88	0.4586980077	0.8200224972
89	0.4574353118	0.8200224972
90	0.4561192023	0.8200224972
91	0.4557166934	0.8200224972
92	0.4544222838	0.8200224972
93	0.4542034752	0.8200224972
94	0.4539642754	0.8200224972
95	0.4530383242	0.8200224972
96	0.4520723483	0.8200224972
97	0.4509830093	0.8200224972
98	0.450618159	0.8211473566
99	0.4501141231	0.8211473566
100	0.4491987772	0.8211473566
101	0.4487216666	0.8200224972
102	0.4480586968	0.8200224972
103	0.4470777023	0.8200224972
104	0.4463522041	0.8200224972
105	0.4457147727	0.8200224972
106	0.4446167061	0.8200224972
107	0.4437271158	0.8200224972
108	0.4429631815	0.8200224972
109	0.4423135463	0.8200224972
110	0.4413107077	0.8200224972
111	0.4407275202	0.8200224972
112	0.4400077646	0.8200224972
113	0.4393425941	0.8200224972
114	0.4386066222	0.8200224972
115	0.4380906057	0.8211473566
116	0.4372824013	0.8211473566
117	0.4366870768	0.8211473566
118	0.4358123486	0.8211473566
119	0.4350935061	0.8211473566
120	0.4342945895	0.8211473566
121	0.433687635	0.8211473566
122	0.4331284322	0.8211473566
123	0.4329261076	0.8211473566
124	0.4325234349	0.8211473566
125	0.4323295053	0.8211473566
126	0.432090225	0.822272216
127	0.4320479343	0.822272216
128	0.4316584447	0.822272216
129	0.4312654596	0.822272216
130	0.4309018578	0.822272216
131	0.4306447651	0.822272216
132	0.4300796396	0.822272216
133	0.4296613503	0.822272216
134	0.4293619911	0.822272216
135	0.4291874098	0.822272216
136	0.4289059611	0.822272216
137	0.4287126697	0.822272216
138	0.4280794804	0.822272216
139	0.42752248	0.822272216
140	0.426985019	0.822272216
141	0.4266822424	0.822272216
142	0.4263531283	0.822272216
143	0.4260847732	0.822272216
144	0.4254273804	0.822272216
145	0.4250475859	0.822272216
146	0.4249621259	0.822272216
147	0.4245971616	0.8233970754
148	0.4240888659	0.8233970754
149	0.4234139748	0.8233970754
150	0.4230673803	0.8233970754
151	0.4227848736	0.8233970754
152	0.4223910681	0.8256467942
153	0.4217180997	0.8256467942
154	0.4214769663	0.8267716535
155	0.4212906662	0.8267716535
156	0.4207764479	0.8267716535
157	0.420710884	0.8267716535
158	0.420403753	0.8256467942
159	0.4202814088	0.8256467942
160	0.4198566827	0.8256467942
161	0.4196839817	0.8256467942
162	0.419266196	0.8256467942
163	0.4190834928	0.8245219348
164	0.4185723292	0.8256467942
165	0.4182484273	0.8256467942
166	0.4178589781	0.8267716535
167	0.4173253046	0.8267716535
168	0.4173037137	0.8267716535
169	0.4172727423	0.8267716535
170	0.4170389934	0.8267716535
171	0.4165680283	0.8267716535
172	0.4161934084	0.8256467942
173	0.4160575073	0.8256467942
174	0.4156862353	0.8256467942
175	0.4153425513	0.8256467942
176	0.415206331	0.8256467942
177	0.4150164244	0.8267716535
178	0.4148012333	0.8267716535
179	0.4140994685	0.8267716535
180	0.4138480469	0.8267716535
181	0.4137682607	0.8278965129
182	0.4137102759	0.8278965129
183	0.4134407781	0.8278965129
184	0.4132445754	0.8267716535
185	0.412983931	0.8267716535
186	0.4124543769	0.8278965129
187	0.4121250604	0.8278965129
188	0.4118659319	0.8278965129
189	0.4114387328	0.8278965129
190	0.4113015251	0.8278965129
191	0.4109988028	0.8278965129
192	0.4108173902	0.8278965129
193	0.4105260201	0.8278965129
194	0.4103585624	0.8278965129
195	0.4103438787	0.8278965129
196	0.4101592444	0.8278965129
197	0.4097278014	0.8278965129
198	0.4091713786	0.8278965129
199	0.4087871218	0.8278965129
200	0.4087649158	0.8278965129
201	0.4083473829	0.8278965129
202	0.4081685689	0.8278965129
203	0.4080082144	0.8278965129
204	0.4078875724	0.8278965129
205	0.4074763196	0.8278965129
206	0.4072217791	0.8278965129
207	0.4070272262	0.8278965129
208	0.4068000164	0.8278965129
209	0.4066186642	0.8290213723
210	0.4064606311	0.8290213723
211	0.4062328457	0.8290213723
212	0.4060748942	0.8290213723
213	0.4059241416	0.8290213723
214	0.4055735456	0.8290213723
215	0.4054174924	0.8290213723
216	0.4052364991	0.8290213723
217	0.4049912234	0.8290213723
218	0.4048301999	0.8278965129
219	0.4044469004	0.8290213723
220	0.4042921491	0.8290213723
221	0.4042154173	0.8301462317
222	0.404027382	0.8301462317
223	0.4038303194	0.8301462317
224	0.4034906338	0.8312710911
225	0.4034537098	0.8290213723
226	0.4034191541	0.8301462317
227	0.4031526149	0.8290213723
228	0.4028517559	0.8301462317
229	0.4025716962	0.8301462317
230	0.4025617893	0.8301462317
231	0.4024851183	0.8301462317
232	0.402122615	0.8301462317
233	0.4019247752	0.8312710911
234	0.4018468958	0.8312710911
235	0.4018425317	0.8301462317
236	0.4017562842	0.8312710911
237	0.4016080113	0.8312710911
238	0.4014150216	0.8323959505
239	0.4013891047	0.8323959505
240	0.4009958846	0.8323959505
241	0.4008688924	0.8323959505
242	0.4004489775	0.8323959505
243	0.4002204975	0.8323959505
244	0.4000956219	0.8323959505
245	0.3997072307	0.8323959505
246	0.3993777649	0.8323959505
247	0.3992215386	0.8323959505
248	0.3990991901	0.8323959505
249	0.3988645156	0.8323959505
250	0.3988299913	0.8323959505
251	0.3986982706	0.8323959505
252	0.3983529874	0.8323959505
253	0.3983158601	0.8323959505
254	0.3980553547	0.8323959505
255	0.3977485626	0.8335208099
256	0.3975714192	0.8335208099
257	0.3974136963	0.8335208099
258	0.3973717007	0.8335208099
259	0.39724799	0.8335208099
260	0.3971404988	0.8335208099
261	0.3970719905	0.8335208099
262	0.3968631523	0.8335208099
263	0.3966489278	0.8335208099
264	0.396409733	0.8335208099
265	0.3963068807	0.8335208099
266	0.3961884894	0.8335208099
267	0.3961862516	0.8335208099
268	0.3960993534	0.8335208099
269	0.3959436936	0.8335208099
270	0.3957586562	0.8335208099
271	0.3956818842	0.8335208099
272	0.3956798539	0.8335208099
273	0.3955700573	0.8335208099
274	0.3954017263	0.8335208099
275	0.3952062443	0.8335208099
276	0.3951332084	0.8335208099
277	0.3950213208	0.8335208099
278	0.3950177842	0.8335208099
279	0.3947193645	0.8335208099
280	0.3947176798	0.8335208099
281	0.3946179805	0.8335208099
282	0.3945999027	0.8335208099
283	0.3944027035	0.8335208099
284	0.3943147307	0.8346456693
285	0.3942351103	0.8335208099
286	0.394073393	0.8335208099
287	0.3939832368	0.8335208099
288	0.3939818225	0.8335208099
289	0.3938895196	0.8346456693
290	0.393607421	0.8346456693
291	0.3935105061	0.8346456693
292	0.3934810198	0.8346456693
293	0.3931685521	0.8346456693
294	0.3931256804	0.8346456693
295	0.3930614137	0.8346456693
296	0.3930393636	0.8346456693
297	0.3927144734	0.8346456693
298	0.3927075322	0.8346456693
299	0.3924854821	0.8346456693
300	0.3923222127	0.8346456693
301	0.3923037752	0.8346456693
302	0.3921770487	0.8346456693
303	0.3918922577	0.8346456693
304	0.3916874345	0.8346456693
305	0.3916529825	0.8346456693
306	0.3915886307	0.8346456693
307	0.3914601759	0.8346456693
308	0.3912696033	0.8357705287
309	0.3911910709	0.8357705287
310	0.3911123063	0.8357705287
311	0.3908419756	0.8368953881
312	0.3906579554	0.8368953881
313	0.3905849205	0.8368953881
314	0.3902450011	0.8368953881
315	0.3902145044	0.8368953881
316	0.3901535252	0.8368953881
317	0.389985488	0.8368953881
318	0.3897056847	0.8368953881
319	0.389457727	0.8368953881
320	0.3892402327	0.8380202475
321	0.3892389207	0.8380202475
322	0.3891993469	0.8380202475
323	0.3891153482	0.8380202475
324	0.3890597874	0.8380202475
325	0.3890083924	0.8380202475
326	0.3889827177	0.8380202475
327	0.3885889486	0.8380202475
328	0.388493583	0.8380202475
329	0.388370246	0.8391451069
330	0.3882142184	0.8391451069
331	0.3881924028	0.8391451069
332	0.3880437306	0.8391451069
333	0.3880358455	0.8391451069
334	0.3879012709	0.8391451069
335	0.3879007643	0.8391451069
336	0.3876694852	0.8391451069
337	0.3875384139	0.8391451069
338	0.3873646559	0.8391451069
339	0.3873521475	0.8391451069
340	0.3871181623	0.8391451069
