iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	225	278	225	340	225	278	340
1	215	263	215	340	215	263	340
2	215	262	215	340	215	262	340
3	223	274	223	340	223	274	340
4	220	270	220	340	220	270	340
5	226	282	226	340	226	282	340
6	228	285	228	340	228	285	340
7	227	284	227	340	227	284	340
8	227	284	227	340	227	284	340
9	227	284	227	340	227	284	340
10	224	280	224	340	224	280	340
11	228	284	228	340	228	284	340
12	227	283	227	340	227	283	340
13	228	284	228	340	228	284	340
14	225	280	225	340	225	280	340
15	228	285	228	340	228	285	340
16	228	285	228	340	228	285	340
17	224	277	224	340	224	277	340
18	224	276	224	340	224	276	340
19	224	276	224	340	224	276	340
20	224	276	224	340	224	276	340
21	224	276	224	340	224	276	340
22	224	276	224	340	224	276	340
23	224	276	224	340	224	276	340
24	224	276	224	340	224	276	340
25	224	276	224	340	224	276	340
26	224	276	224	340	224	276	340
27	224	276	224	340	224	276	340
28	224	276	224	340	224	276	340
29	224	276	224	340	224	276	340
30	224	276	224	340	224	276	340
31	224	276	224	340	224	276	340
32	224	276	224	340	224	276	340
33	224	276	224	340	224	276	340
34	224	276	224	340	224	276	340
35	224	276	224	340	224	276	340
36	224	275	224	340	224	275	340
37	225	276	225	340	225	276	340
38	226	277	226	340	226	277	340
39	225	276	225	340	225	276	340
40	226	279	226	340	226	279	340
41	226	279	226	340	226	279	340
42	226	279	226	340	226	279	340
43	226	278	226	340	226	278	340
44	226	277	226	340	226	277	340
45	226	278	226	340	226	278	340
46	225	276	225	340	225	276	340
47	226	277	226	340	226	277	340
48	226	279	226	340	226	279	340
49	226	278	226	340	226	278	340
50	226	278	226	340	226	278	340
51	227	279	227	340	227	279	340
52	228	282	228	340	228	282	340
53	228	282	228	340	228	282	340
54	228	281	228	340	228	281	340
55	228	282	228	340	228	282	340
56	228	281	228	340	228	281	340
57	227	279	227	340	227	279	340
58	228	281	228	340	228	281	340
59	228	280	228	340	228	280	340
60	228	281	228	340	228	281	340
61	227	279	227	340	227	279	340
62	227	278	227	340	227	278	340
63	226	277	226	340	226	277	340
64	226	277	226	340	226	277	340
65	226	277	226	340	226	277	340
66	226	277	226	340	226	277	340
67	227	278	227	340	227	278	340
68	227	279	227	340	227	279	340
69	228	279	228	340	228	279	340
70	228	280	228	340	228	280	340
71	228	281	228	340	228	281	340
72	228	281	228	340	228	281	340
73	228	281	228	340	228	281	340
74	228	281	228	340	228	281	340
75	228	281	228	340	228	281	340
76	228	281	228	340	228	281	340
77	228	281	228	340	228	281	340
78	228	281	228	340	228	281	340
79	228	281	228	340	228	281	340
80	228	281	228	340	228	281	340
81	228	281	228	340	228	281	340
82	228	281	228	340	228	281	340
83	228	281	228	340	228	281	340
84	228	281	228	340	228	281	340
85	228	281	228	340	228	281	340
86	228	281	228	340	228	281	340
87	228	281	228	340	228	281	340
88	228	281	228	340	228	281	340
89	228	280	228	340	228	280	340
90	227	279	227	340	227	279	340
91	228	280	228	340	228	280	340
92	228	280	228	340	228	280	340
93	227	279	227	340	227	279	340
94	227	279	227	340	227	279	340
95	227	279	227	340	227	279	340
96	227	279	227	340	227	279	340
97	227	279	227	340	227	279	340
98	227	279	227	340	227	279	340
99	227	279	227	340	227	279	340
100	227	279	227	340	227	279	340
101	227	279	227	340	227	279	340
102	227	279	227	340	227	279	340
103	227	279	227	340	227	279	340
104	227	279	227	340	227	279	340
105	227	279	227	340	227	279	340
106	227	279	227	340	227	279	340
107	227	279	227	340	227	279	340
108	227	276	227	340	227	276	340
109	228	277	228	340	228	277	340
110	228	277	228	340	228	277	340
111	228	277	228	340	228	277	340
112	228	277	228	340	228	277	340
113	228	277	228	340	228	277	340
114	227	275	227	340	227	275	340
115	227	275	227	340	227	275	340
116	227	275	227	340	227	275	340
117	227	275	227	340	227	275	340
118	227	275	227	340	227	275	340
119	227	275	227	340	227	275	340
120	227	275	227	340	227	275	340
121	227	275	227	340	227	275	340
122	227	274	227	340	227	274	340
123	227	275	227	340	227	275	340
124	227	275	227	340	227	275	340
125	227	275	227	340	227	275	340
126	227	274	227	340	227	274	340
127	227	274	227	340	227	274	340
128	227	274	227	340	227	274	340
129	227	274	227	340	227	274	340
130	227	274	227	340	227	274	340
131	227	274	227	340	227	274	340
132	227	274	227	340	227	274	340
133	227	274	227	340	227	274	340
134	227	274	227	340	227	274	340
135	227	274	227	340	227	274	340
136	227	274	227	340	227	274	340
137	227	274	227	340	227	274	340
138	227	274	227	340	227	274	340
139	227	274	227	340	227	274	340
140	227	274	227	340	227	274	340
141	227	274	227	340	227	274	340
142	227	274	227	340	227	274	340
143	227	274	227	340	227	274	340
144	227	274	227	340	227	274	340
145	227	274	227	340	227	274	340
146	227	274	227	340	227	274	340
147	227	274	227	340	227	274	340
148	227	274	227	340	227	274	340
149	227	274	227	340	227	274	340
150	227	274	227	340	227	274	340
151	227	274	227	340	227	274	340
152	227	274	227	340	227	274	340
153	227	274	227	340	227	274	340
154	227	274	227	340	227	274	340
155	227	274	227	340	227	274	340
156	227	274	227	340	227	274	340
157	227	274	227	340	227	274	340
158	227	274	227	340	227	274	340
159	227	274	227	340	227	274	340
160	227	274	227	340	227	274	340
161	227	274	227	340	227	274	340
162	227	274	227	340	227	274	340
163	227	274	227	340	227	274	340
164	227	274	227	340	227	274	340
165	227	274	227	340	227	274	340
166	229	276	229	340	229	276	340
167	227	274	227	340	227	274	340
168	227	274	227	340	227	274	340
169	227	274	227	340	227	274	340
170	227	274	227	340	227	274	340
171	227	274	227	340	227	274	340
172	227	274	227	340	227	274	340
173	227	274	227	340	227	274	340
174	227	274	227	340	227	274	340
175	227	274	227	340	227	274	340
176	227	274	227	340	227	274	340
177	227	274	227	340	227	274	340
178	227	274	227	340	227	274	340
179	227	274	227	340	227	274	340
180	227	274	227	340	227	274	340
181	227	274	227	340	227	274	340
182	227	274	227	340	227	274	340
183	227	274	227	340	227	274	340
184	227	274	227	340	227	274	340
185	227	274	227	340	227	274	340
186	227	274	227	340	227	274	340
187	227	274	227	340	227	274	340
188	227	274	227	340	227	274	340
189	227	274	227	340	227	274	340
190	227	274	227	340	227	274	340
191	227	274	227	340	227	274	340
192	227	274	227	340	227	274	340
193	227	274	227	340	227	274	340
194	227	274	227	340	227	274	340
195	227	274	227	340	227	274	340
196	227	274	227	340	227	274	340
197	227	274	227	340	227	274	340
198	227	274	227	340	227	274	340
199	227	274	227	340	227	274	340
200	227	274	227	340	227	274	340
201	227	274	227	340	227	274	340
202	227	274	227	340	227	274	340
203	227	274	227	340	227	274	340
204	227	274	227	340	227	274	340
205	227	274	227	340	227	274	340
206	227	274	227	340	227	274	340
207	227	274	227	340	227	274	340
208	227	274	227	340	227	274	340
209	229	276	229	340	229	276	340
210	229	276	229	340	229	276	340
211	229	276	229	340	229	276	340
212	229	276	229	340	229	276	340
213	229	276	229	340	229	276	340
214	229	275	229	340	229	275	340
215	229	275	229	340	229	275	340
216	229	275	229	340	229	275	340
217	229	275	229	340	229	275	340
218	229	275	229	340	229	275	340
219	230	276	230	340	230	276	340
220	230	276	230	340	230	276	340
221	230	276	230	340	230	276	340
222	230	276	230	340	230	276	340
223	230	276	230	340	230	276	340
224	230	276	230	340	230	276	340
225	230	276	230	340	230	276	340
226	230	276	230	340	230	276	340
227	230	277	230	340	230	277	340
228	230	276	230	340	230	276	340
229	230	276	230	340	230	276	340
230	230	276	230	340	230	276	340
231	230	276	230	340	230	276	340
232	230	276	230	340	230	276	340
233	230	276	230	340	230	276	340
234	230	276	230	340	230	276	340
235	230	276	230	340	230	276	340
236	230	276	230	340	230	276	340
237	230	276	230	340	230	276	340
238	230	276	230	340	230	276	340
239	230	276	230	340	230	276	340
240	230	276	230	340	230	276	340
241	230	276	230	340	230	276	340
242	230	276	230	340	230	276	340
243	230	276	230	340	230	276	340
244	230	276	230	340	230	276	340
245	230	276	230	340	230	276	340
246	230	276	230	340	230	276	340
247	230	276	230	340	230	276	340
248	230	276	230	340	230	276	340
249	230	276	230	340	230	276	340
250	230	276	230	340	230	276	340
251	230	276	230	340	230	276	340
252	230	276	230	340	230	276	340
253	230	276	230	340	230	276	340
254	230	276	230	340	230	276	340
255	230	276	230	340	230	276	340
256	230	276	230	340	230	276	340
257	230	276	230	340	230	276	340
258	230	276	230	340	230	276	340
259	230	276	230	340	230	276	340
260	230	276	230	340	230	276	340
261	230	276	230	340	230	276	340
262	230	276	230	340	230	276	340
263	230	276	230	340	230	276	340
264	230	276	230	340	230	276	340
265	230	276	230	340	230	276	340
266	230	276	230	340	230	276	340
267	230	276	230	340	230	276	340
268	230	276	230	340	230	276	340
269	230	276	230	340	230	276	340
270	230	276	230	340	230	276	340
271	230	276	230	340	230	276	340
272	230	276	230	340	230	276	340
273	230	276	230	340	230	276	340
274	230	276	230	340	230	276	340
275	230	276	230	340	230	276	340
276	230	276	230	340	230	276	340
277	230	276	230	340	230	276	340
278	230	276	230	340	230	276	340
279	230	276	230	340	230	276	340
280	230	276	230	340	230	276	340
281	230	276	230	340	230	276	340
282	230	276	230	340	230	276	340
283	230	276	230	340	230	276	340
284	230	276	230	340	230	276	340
285	230	276	230	340	230	276	340
286	230	276	230	340	230	276	340
287	230	276	230	340	230	276	340
288	230	276	230	340	230	276	340
289	230	276	230	340	230	276	340
290	230	276	230	340	230	276	340
291	230	276	230	340	230	276	340
292	230	276	230	340	230	276	340
293	230	276	230	340	230	276	340
294	230	276	230	340	230	276	340
295	230	276	230	340	230	276	340
296	230	276	230	340	230	276	340
297	230	276	230	340	230	276	340
298	230	276	230	340	230	276	340
299	230	276	230	340	230	276	340
300	230	276	230	340	230	276	340
301	230	276	230	340	230	276	340
302	230	276	230	340	230	276	340
303	230	276	230	340	230	276	340
304	230	276	230	340	230	276	340
305	230	276	230	340	230	276	340
306	230	276	230	340	230	276	340
307	230	276	230	340	230	276	340
308	230	276	230	340	230	276	340
309	230	276	230	340	230	276	340
310	230	276	230	340	230	276	340
311	230	276	230	340	230	276	340
312	230	276	230	340	230	276	340
313	230	276	230	340	230	276	340
314	230	276	230	340	230	276	340
315	230	276	230	340	230	276	340
316	230	276	230	340	230	276	340
317	230	276	230	340	230	276	340
318	230	276	230	340	230	276	340
319	230	276	230	340	230	276	340
320	230	276	230	340	230	276	340
321	230	276	230	340	230	276	340
322	230	276	230	340	230	276	340
323	230	276	230	340	230	276	340
324	230	276	230	340	230	276	340
325	230	276	230	340	230	276	340
326	230	276	230	340	230	276	340
327	230	276	230	340	230	276	340
328	230	276	230	340	230	276	340
329	230	276	230	340	230	276	340
330	230	276	230	340	230	276	340
331	230	276	230	340	230	276	340
332	230	276	230	340	230	276	340
333	230	276	230	340	230	276	340
334	230	276	230	340	230	276	340
335	230	276	230	340	230	276	340
336	230	276	230	340	230	276	340
337	230	276	230	340	230	276	340
338	230	276	230	340	230	276	340
339	230	276	230	340	230	276	340
340	230	276	230	340	230	276	340
341	230	276	230	340	230	276	340
342	230	276	230	340	230	276	340
343	230	276	230	340	230	276	340
344	230	276	230	340	230	276	340
345	230	276	230	340	230	276	340
346	230	276	230	340	230	276	340
347	230	276	230	340	230	276	340
348	230	276	230	340	230	276	340
349	230	276	230	340	230	276	340
350	230	276	230	340	230	276	340
351	230	276	230	340	230	276	340
352	230	276	230	340	230	276	340
353	230	276	230	340	230	276	340
354	230	276	230	340	230	276	340
355	230	276	230	340	230	276	340
356	230	276	230	340	230	276	340
357	230	276	230	340	230	276	340
358	231	277	231	340	231	277	340
359	231	277	231	340	231	277	340
360	231	277	231	340	231	277	340
361	231	277	231	340	231	277	340
362	231	277	231	340	231	277	340
363	231	276	231	340	231	276	340
364	231	276	231	340	231	276	340
365	231	276	231	340	231	276	340
366	231	276	231	340	231	276	340
367	231	276	231	340	231	276	340
368	231	276	231	340	231	276	340
369	231	276	231	340	231	276	340
370	231	276	231	340	231	276	340
371	231	276	231	340	231	276	340
372	231	276	231	340	231	276	340
373	231	276	231	340	231	276	340
374	231	276	231	340	231	276	340
375	231	276	231	340	231	276	340
376	231	276	231	340	231	276	340
377	231	276	231	340	231	276	340
378	231	275	231	340	231	275	340
379	231	276	231	340	231	276	340
380	231	276	231	340	231	276	340
381	231	276	231	340	231	276	340
382	231	274	231	340	231	274	340
383	231	274	231	340	231	274	340
384	231	274	231	340	231	274	340
385	231	274	231	340	231	274	340
386	231	274	231	340	231	274	340
387	231	274	231	340	231	274	340
388	231	274	231	340	231	274	340
389	231	274	231	340	231	274	340
390	231	274	231	340	231	274	340
391	231	274	231	340	231	274	340
392	231	274	231	340	231	274	340
393	231	274	231	340	231	274	340
394	231	274	231	340	231	274	340
395	231	274	231	340	231	274	340
396	231	274	231	340	231	274	340
397	231	274	231	340	231	274	340
398	231	274	231	340	231	274	340
399	231	274	231	340	231	274	340
400	231	274	231	340	231	274	340
401	231	274	231	340	231	274	340
402	231	274	231	340	231	274	340
403	231	274	231	340	231	274	340
404	231	274	231	340	231	274	340
405	231	274	231	340	231	274	340
406	231	274	231	340	231	274	340
407	230	273	230	340	230	273	340
